metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
envoy.runtime.load_error,count,,error,,Total number of load attempts that resulted in an error,-1,envoy,failed loads
envoy.runtime.override_dir_not_exists,count,,occurrence,,Total number of loads that did not use an override directory,0,envoy,loads without override directory
envoy.runtime.override_dir_exists,count,,occurrence,,Total number of loads that did use an override directory,0,envoy,loads with override directory
envoy.runtime.load_success,count,,success,,Total number of load attempts that were successful,1,envoy,successful loads
envoy.runtime.num_keys,gauge,,location,,Number of keys currently loaded,0,envoy,keys loaded
envoy.cluster_manager.cds.config_reload,count,,event,,Total API fetches that resulted in a config reload due to a different config,0,envoy,cds config reloads
envoy.cluster_manager.cds.update_attempt,count,,request,,Total API fetches attempted,0,envoy,cds total api accesses
envoy.cluster_manager.cds.update_success,count,,request,,Total API fetches completed successfully,1,envoy,cds successful api accesses
envoy.cluster_manager.cds.update_failure,count,,request,,Total API fetches that failed (either network or schema errors),-1,envoy,cds failed api accesses
envoy.cluster_manager.cds.version,gauge,,item,,Hash of the contents from the last successful API fetch,0,envoy,
envoy.http.no_route,count,,request,,Total requests that had no route and resulted in a 404,-1,envoy,
envoy.http.no_cluster,count,,request,,Total requests in which the target cluster did not exist and resulted in a 404,-1,envoy,
envoy.http.rq_redirect,count,,request,,Total requests that resulted in a redirect response,0,envoy,
envoy.http.rq_total,count,,request,,Total routed requests,0,envoy,
envoy.vhost.vcluster.upstream_rq_1xx,count,,response,,Aggregate HTTP 1xx response codes,0,envoy,vhost 1xx response codes
envoy.vhost.vcluster.upstream_rq_2xx,count,,response,,Aggregate HTTP 2xx response codes,1,envoy,vhost 2xx response codes
envoy.vhost.vcluster.upstream_rq_3xx,count,,response,,Aggregate HTTP 3xx response codes,0,envoy,vhost 3xx response codes
envoy.vhost.vcluster.upstream_rq_4xx,count,,response,,Aggregate HTTP 4xx response codes,-1,envoy,vhost 4xx response codes
envoy.vhost.vcluster.upstream_rq_5xx,count,,response,,Aggregate HTTP 5xx response codes,-1,envoy,vhost 5xx response codes
envoy.vhost.vcluster.upstream_rq_time,gauge,,millisecond,,Request time milliseconds,-1,envoy,vhost request time ms
envoy.cluster.ratelimit.ok,count,,response,,Total under limit responses from the rate limit service,1,envoy,
envoy.cluster.ratelimit.error,count,,response,,Total errors contacting the rate limit service,-1,envoy,
envoy.cluster.ratelimit.over_limit,count,,response,,Total over limit responses from the rate limit service,-1,envoy,
envoy.http.ip_tagging.hit,count,,request,,Total number of requests that have the tag_name tag applied to it.,0,envoy,
envoy.http.ip_tagging.no_hit,count,,request,,Total number of requests with no applicable IP tags.,0,envoy,
envoy.http.ip_tagging.total,count,,request,,Total number of requests the IP Tagging Filter operated on.,0,envoy,
envoy.cluster.grpc.success,count,,operation,,Total successful service/method calls,1,envoy,
envoy.cluster.grpc.failure,count,,operation,,Total failed service/method calls,-1,envoy,
envoy.cluster.grpc.total,count,,operation,,Total service/method calls,0,envoy,
envoy.http.dynamodb.operation.upstream_rq_total,count,,request,,Total number of requests with operation_name tag,0,envoy,
envoy.http.dynamodb.operation.upstream_rq_time,gauge,,millisecond,,Time spent on operation_name tag,-1,envoy,
envoy.http.dynamodb.table.upstream_rq_total,count,,request,,Total number of requests on table_name tag table,0,envoy,
envoy.http.dynamodb.table.upstream_rq_time,gauge,,millisecond,,Time spent on table_name tag table,-1,envoy,
envoy.http.dynamodb.error,count,,error,,Total number of specific error_type tag for a given table_name tag,-1,envoy,
envoy.http.dynamodb.error.BatchFailureUnprocessedKeys,count,,error,,Total number of partial batch failures for a given table_name tag,-1,envoy,
envoy.http.buffer.rq_timeout,count,,timeout,,Total requests that timed out waiting for a full request,-1,envoy,
envoy.,,,,,,,envoy,
